채용제목,근무지,경력,학력,고용형태,상세게시글id,회사,상세url,주요업무,자격요건,우대사항,스킬,채용절차,급여,업종,복지 및 혜택
AI 에이전트 엔지니어,경기 성남시 분당구 판교역로192번길 12  3층,경력5년~15년,학력무관,정규직,48396374.0,㈜에스투더블유,https://www.jobkorea.co.kr/Recruit/GI_Read/48396374?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=2&sc=630,"이런 업무를 해요
ㆍHybrid Research Loop 설계: 사용자의 질문을 분석하여 사내 DB(Elasticsearch)와 외부 웹(Web Search) 중 어디를 탐색할지 결정하는 지능형 라우팅(Intelligent Routing) 알고리즘 구현
ㆍMulti-Source 정보 통합: 정형화된 사내 문서(JSON/Text)와 비정형 웹 데이터(HTML)를 LLM이 이해하기 쉬운 형태로 표준화하고, 문맥에 맞게 통합(Synthesis)하는 파이프라인 개발
ㆍDeep Research 에이전트 고도화: 단답형 검색이 아닌, '계획(Plan) → 다단계 검색 → 검증(Critic) → 수정' 과정을 거치는 순환형 에이전트 아키텍처 설계 (LangGraph 활용)
ㆍSearch Relevance 최적화: Hybrid Search(Keyword + Semantic) 결과와 웹 검색 결과를 통합 랭킹(Re-ranking)하여 환각(Hallucination)을 최소화하고 정확도를 높임
ㆍ인용(Citation) 시스템 구현: 최종 답변의 각 문장이 '사내 문서'에서 왔는지 '외부 기사'에서 왔는지 명확히 출처를 표기하는 Grounding 로직 구현","이런 분들을 찾고 있어요
ㆍ학력 : 학력무관
ㆍPython 및 LLM 프레임워크 숙련자: LangChain, LangGraph 등을 활용한 Multi-Agent 시스템 구축 경험
ㆍ검색 엔진(Elasticsearch/OpenSearch) 이해도: 역색인 구조, BM25, Vector Search에 대한 이해 및 Python 클라이언트 연동 경험
ㆍ웹 데이터 수집 및 처리 능력: Playwright, Firecrawl 등을 이용한 동적 웹 스크래핑 및 데이터 정제 경험
ㆍ비동기 프로그래밍(AsyncIO): 다수의 검색 소스를 병렬로 처리하고 응답 속도를 최적화할 수 있는 분","이런 분이면 더 좋아요
ㆍRAG 심화 기술 보유: Self-RAG, Adaptive RAG, Corrective RAG (CRAG) 등의 논문을 코드로 구현해 본 경험
ㆍ오픈소스 분석: GPT-Researcher, Storm 등의 리서치 에이전트 구조를 깊이 파악하고 있는 분
ㆍ데이터 파이프라인 구축: 이기종 데이터(PDF, Web, DB)를 벡터화하고 관리해 본 경험","Agent, BM25, Elasticsearch, GPT-Researcher, JSON, LangChain, LangGraph, LLM, OpenSearch, Python, RAG",,"",시스템 소프트웨어 개발 및 공급업,""
AI 에이전트 개발자 정규직 채용,서울 강남구 테헤란로2길 27  9층,경력,대졸이상,정규직 (수습 3개월),48512285.0,㈜애딥,https://www.jobkorea.co.kr/Recruit/GI_Read/48512285?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=4&sc=630,"
담당업무

ㆍ멀티모달 + 광고 소재를 융합하는 파이프라인 개발

ㆍ생성된 AI 콘텐츠의 자연스러운 광고/상품 매칭 로직 구현

ㆍGPT-4o, Gemini Vision Pro, Stable Diffusion, Sora 계열 모델 등 멀티모달 API 적용

ㆍLangChain/LangGraph 기반 에이전트 워크플로우 설계 및 파이프라인 구축

ㆍLangSmith 기반 실험 관리·평가·관찰(Observability) 환경 운영

ㆍ광고·커머스·SNS 문맥 기반 생성 Agent 설계

ㆍ멀티모달 입력을 처리 가능한 Agent Orchestration 구조 개발

ㆍAgent 자동 의사결정·추론·행동 로직을 위한 백엔드 모듈 설계

ㆍ이미지/오디오/비디오 인코딩·임베딩 처리 백엔드 개발

ㆍ대규모 멀티모달 모델 추론 서버 운영(Triton, TorchServe 등)","핵심역량

ㆍPython 숙련 필수

ㆍFastAPI 또는 Django/Flask 등 Python 기반 프레임워크 능숙

ㆍOpenAI API 또는 Google Gemini API 연동 경험 필수

ㆍ마이크로서비스 아키텍처(MSA) 이해 및 경험

ㆍLangChain·LangGraph 기반 Agent Pipeline 구성 능력

ㆍLangSmith를 활용한 Eval/Debugging/Tracing 경험

ㆍ멀티모달 에이전트 시스템 설계 경험","우대사항

ㆍStreamming API 연동 경험 (실시간 콘텐츠 생성 피드백 제공).

ㆍVector Database (Pinecone, ChromaDB)를 활용한 RAG 시스템 구축 경험

ㆍTypeScript/Node.js 등 다국어 백엔드 개발 경험

ㆍMLOps 또는 AI 모델 배포 관련 경험.
ㆍLangChain/LangGraph 기반의 멀티모달 Agent 개발 경험
ㆍLangSmith로 대규모 실험 관리·프롬프트 최적화 경험
ㆍLLM·Vision·Audio 모델을 혼합한 복합 에이전트 구축 경험
ㆍ다중 Step·상태 기반(Stateful) Agent 설계 경험","Agent, ChromaDB, Django, Flask, Gemini, LangGraph, Node.js, Pinecone, Python, RAG, Stable Diffusion, 멀티모달",,회사 내규에 따름,"",""
[플랫폼본부] AX-Tech실 AI 에이전트 엔지니어,경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),48481370.0,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48481370?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=5&sc=630,"주요 업무
AI 기반 개발자 서비스 개발 및 운영
- 개발자의 온보딩과 업무 효율을 돕는 서비스를 주도적으로 개발합니다.
- LLM 등 외부 AI 서비스를 활용하여 서비스의 핵심 기능을 설계하고 직접 구현합니다.
- 서비스 목적에 맞춰 효과적인 프롬프트와 에이전트 파이프라인을 설계하고 지속적으로 고도화합니다.

AI 기술 리서치 및 가치 검증
- 개발 생산성을 극대화할 최신 AI 기술, 모델, 프레임워크를 리서치하고 기술 검증을 통해 실효성을 검증합니다.","지원 자격
개발 경력 3년 이상이신 분
Python, TypeScript, C++, C# 중 하나 이상의 언어로 능숙하게 개발 가능하신 분
특정 기술 스택에 얽매이지 않고, 웹 프론트엔드부터 백엔드, 게임 엔진까지 유연하게 넘나들며 개발할 수 있는 풀스택 역량을 갖추신 분
AI 기술과 서비스에 대한 깊은 관심과 열정을 바탕으로 스스로 문제를 정의하고 해결하며 빠르게 학습하고 성장하시는 분","우대 사항
게임 개발 과정을 경험해보셨거나, 이에 대한 이해도가 높으신 분
Cursor, GitHub Copilot 등 AI 기반 개발 도구 활용에 능숙하며, 이를 통해 실제 개발 생산성을 크게 향상 시켜본 경험이 있으신 분
LLM 기반의 챗봇, RAG 시스템 등 AI Agent 서비스 개발을 처음부터 끝까지 경험해보신 분
프롬프트 최적화 경험이 있으신 분
AWS 운영 경험 또는 DevOps 경험이 있으신 분
처음 접하는 분야나 코드도 두려움 없이 파악하고 빠르게 기여할 수 있으신 분","Agent, AWS, DevOps, GitHub, LLM, Python, RAG, TypeScript","전형 절차
서류전형 → 과제전형 → 면접전형 → 최종합격
*해당 절차는 각 포지션 및 후보자에 따라 변동이 있을 수 있습니다.",회사 내규에 따름,"",""
[핀테크 스타트업] AI 에이전트 엔지니어 모십니다.,서울 송파구 법원로 128  B동 1211호,경력,초대졸이상,정규직 (수습 3개월) 직급/직책,48447364.0,㈜와이에스메타,https://www.jobkorea.co.kr/Recruit/GI_Read/48447364?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=6&sc=630,"
담당업무

ㆍLLM 기반 Agent / RAG / Pipeline 설계 및 개발

ㆍ외부 API, 웹데이터, DB를 연결하는 AI 서비스 구축

ㆍA2A 파이프라인 설계 및 개선

ㆍ모델 성능/비용/로깅 등 LLMOps 체계화

ㆍ벡터화·Retrieval·프롬프팅 등 데이터 파이프라인 자동화","자격요건

ㆍ학력 : 학력무관

ㆍ경력 : 경력2년↑","우대사항

ㆍ스타트업 재직 경험이 있으신 분

ㆍ학습/LLM 파인튜닝 경험이 있으신 분

ㆍ0 to 1 프로덕션 설계부터 운영까지 경험이 있으신 분

ㆍ작은 팀에서의 독립적 문제 해결 및 프로젝트 기여 경험이 있으신 분

ㆍPython으로 FastAPI, LangChain 등을 다뤄본 경험이 있는 분

ㆍLLM 기반 애플리케이션(예: RAG, Chatbot, Agent) 경험이 있는 분

ㆍPrompt 버전 관리, Token 사용 모니터링 등 운영 자동화 경험

ㆍLangGraph, Qdrant, Redis, PostgreSQL 등 실무 경험

ㆍ새 기술을 빠르게 흡수하고 바로 실험해보는 분

ㆍgit / docker 환경에서 협업 가능한 분

ㆍ아키텍처, 코드 품질(테스트 코드  포함) 및 표준의 중요성을 인지하고 있으신 분","Agent, docker, FastAPI, LangChain, LLM, PostgreSQL, RAG, Redis, 데이터 파이프라인","","연봉 5,000만원 이상","",""
AI 에이전트 개발 및 빌더 채용,경남 창원시 의창구 중동중앙로 47  타워동 1902호,경력무관,학력무관,정규직,48524694.0,㈜솔체인,https://www.jobkorea.co.kr/Recruit/GI_Read/48524694?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=7&sc=630,"담당업무

ㆍ영업, 생산, 재고, 보고 등 현장 업무용 AI 에이전트 기획

ㆍLLM 기반 AI 에이전트 빠른 구현 및 실험

ㆍ노코드/로우코드 도구를 활용한 자동화 설계

ㆍ아이디어를 실제 사용 가능한 AI 에이전트로 발전

","자격요건

ㆍChatGPT, Claude 등 LLM을 업무 자동화 용도로 활용한 경험

ㆍAI 에이전트 또는 업무 자동화 사례를 직접 만들어본 경험

ㆍ완벽한 설계보다 빠른 실행과 개선을 선호하는 태도","우대사항

ㆍ다양한 AI 툴 활용 경험

ㆍ기획·마케팅·운영 중 하나 이상의 실무 경험

ㆍ“이건 AI로 처리할 수 있다”는 관점으로 일을 바라보는 분",Claude,"",회사 내규에 따름 (면접 후 결정),"",""
[서울지사] AI 에이전트 및 워크플로우 엔지니어 모집,서울 금천구 디지털로 178  -,경력무관,대졸이상,정규직,48459155.0,㈜인사이트온,https://www.jobkorea.co.kr/Recruit/GI_Read/48459155?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=8&sc=630,"
1. 주요업무

  ? LLM 기반 자율 에이전트 설계

  ? Agentic Workflow 구축

  ? RAG(검색 증강 생성) 최적화

  ? 외부 도구 및 API 연동

  ? 에이전트 성능 모니터링 및 평가

","2. 지원요건

? Python 혹은 Node.js에 능숙하며, 비동기 프로그래밍에 대한 이해도가 높으신 분

?  LangChain, LangGraph, LlamaIndex 중 하나 이상의 프레임워크를 활용해 보신 분

? OpenAI, Anthropic, Google Gemini 등 다양한 LLM API의 특성을 이해하시는 분

? Pinecone, Milvus, Weaviate 등 Vector DB 활용 경험 및 RDBMS와의 연동 경험자","3. 우대사항

? Dify, n8n 등을 활용해 Low-code 기반의 자동화 워크플로우를 구축 경험자

? AutoGen, CrewAI 등을 사용해 다수의 에이전트 간 협업 구조 설계 경험자

? LangSmith 등을 활용한 에이전트 트레이싱(Tracing) 및 디버깅 경험자

? LLM 관련 오픈소스 프로젝트에 기여, 본인만의 AI 사이드 프로젝트 운영 경험자","Anthropic, Gemini, LangChain, LangGraph, LLM, OpenAI, Pinecone, Python, RAG","",회사 내규에 따름 (면접 후 결정),"",""
[부산 / 장기] LLM 기반 RAG 챗봇·AI 에이전트 개발 경력자 채용,부산 연제구 중앙대로 1001  연산동,경력,대졸이상,계약직 (근무기간 2년),48516670.0,㈜디지털엠엔씨,https://www.jobkorea.co.kr/Recruit/GI_Read/48516670?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=9&sc=630,"담당업무

LLM(OpenAI, Azure OpenAI 등) 기반 RAG 챗봇 및 AI 에이전트 설계·개발

LangChain, LangGraph 등 프레임워크를 활용한 에이전트 아키텍처 구현

데이터 수집·전처리·임베딩을 포함한 RAG 데이터 파이프라인 구축

프롬프트 엔지니어링 및 튜닝을 통한 LLM 응답 품질 개선

RAG 성능 평가, 검증 및 운영 고도화

서비스 운영 환경에서의 챗봇/에이전트 유지보수 및 개선","자격요건

학력: 대졸 이상

경력: 총 경력 6년 이상 / 관련 경력 2년 이상

OpenAI, Azure OpenAI 등 LLM API 활용 RAG 챗봇 또는 AI 에이전트 개발·운영 경험

LangChain, LangGraph 등 LLM 프레임워크 사용 경험

데이터 수집·전처리·임베딩을 포함한 데이터 파이프라인 구축 경험

프롬프트 엔지니어링 및 튜닝을 통한 응답 품질 개선 경험

RAG 성능 평가 및 검증 경험

","우대사항

Docker, Kubernetes 기반 AI 서비스 개발·운영 경험

LLM Fine-tuning 또는 SLM 학습/서빙 경험

데이터 엔지니어링 및 MLOps(DVC, MLflow 등) 이해 또는 실무 경험

대규모 언어모델 기반 서비스의 실제 운영 경험","Azure, Docker, Kubernetes, LangChain, LangGraph, LLM, MLOps, OpenAI, RAG, 데이터 파이프라인","",월급 700만원 이상 (면접 후 결정),"",""
에이전트 서비스(AI Agent) 백엔드 개발자 채용,서울 강남구 언주로 535  역삼동 662-15,경력,학력무관,정규직 직급/직책,48314028.0,㈜골든플래닛,https://www.jobkorea.co.kr/Recruit/GI_Read/48314028?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=10&sc=630,"주요업무

1. AI 에이전트 워크플로우 고도화

ㆍLangGraph를 활용한 Text-to-SQL, RAG, 데이터 분석 에이전트 워크플로우 설계 및 구현

ㆍLLM의 Tool Calling을 활용한 Agentic Workflow 구축

ㆍ복잡한 사용자 의도(Intent) 분류 및 Context 관리 로직 최적화

2. SaaS 백엔드 API 개발 및 운영

ㆍFastAPI 기반의 RESTful API 설계 및 구현

ㆍ사용자, 조직, 권한 관리 등 B2B SaaS 필수 기능 개발

3. 데이터베이스 설계 및 운영

ㆍ서비스 요건에 따른 PostgreSQL/Firestore 데이터 모델링 및 마이그레이션 관리

ㆍ쿼리 성능 튜닝 및 데이터 무결성/일관성 최적화

ㆍRLS(Row Level Security)를 활용한 안전한 멀티테넌시 데이터 격리 구현

4. 클라우드 인프라 및 보안 엔지니어링

ㆍGCP 기반의 고가용성 인프라(Cloud Load Balancer, Cloud Armor, IAP) 운영 및 관리

ㆍCloud Build와 Artifact Registry를 활용한 Docker 컨테이너 CI/CD 파이프라인 최적화

ㆍCloud Monitoring/Logging을 활용한 시스템 관측 가능성(Observability) 확보 및 장애 대응

ㆍZero Trust 보안 모델 적용(IAP) 및 감사 로그(Audit Logs) 정책 수립 및 운영","자격 요건

ㆍPython 기반 백엔드 개발 경력 3년 이상으로, FastAPI와 SQLAlchemy(Async)를 활용한 비동기 아키텍처 설계/운영 경험이 있으신 분

ㆍLangChain / LangGraph 등 LLM 오케스트레이션 도구를 활용하여 실제 AI 에이전트 서비스를 구축해 본 경험이 있으신 분

ㆍB2B SaaS 서비스 개발 경험: 멀티테넌시(Multi-tenancy) 환경에서의 데이터 격리(RLS 등) 및 아키텍처 설계 경험이 있으신 분

ㆍ확장성을 고려한 RDBMS 데이터 모델링 및 쿼리 튜닝 역량을 보유하신 분

ㆍ클라우드 인프라(GCP/AWS 등) 운영 경험: IAM, VPC 네트워크, 컨테이너 기반 배포 환경을 이해하고 구성할 수 있으신 분

ㆍ단순 개발을 넘어, 비즈니스 문제를 정의하고 기획부터 배포, 운영까지 End-to-End로 주도하여 임팩트를 만드는 과정을 즐기시는 분","우대 사항

ㆍLangGraph, LangChain, FastAPI 등 당사 기술 스택을 활용한 프로젝트 경험이 있으신 분

ㆍGoogle Cloud Platform(GCP) 환경에서의 실무 경험이 있으신 분

ㆍGoogle BigQuery 쿼리 작성 및 비용 구조에 대한 이해가 있으신 분

ㆍ데이터 스키마에 대한 이해도가 있으신 분","AWS, CI/CD, Docker, FastAPI, GCP, LangChain, LangGraph, LLM, PostgreSQL, RAG, SQL","",회사 내규에 따름 (면접 후 결정),"",""
Hi-Tech 제조 산업을 위한 생성형 AI 플랫폼 및 에이전트 개발 팀장 모집,경기 성남시 분당구 판교역로 230  삼환하이펙스 B동 309호,경력,대졸이상,정규직 직급/직책,48511735.0,㈜브릭,https://www.jobkorea.co.kr/Recruit/GI_Read/48511735?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=11&sc=630,"
담당업무

-생성형 AI 플랫폼 및 LLM 기반 Agent Service 개발
- LLMOps 기반 운영 자동화 및 성능 최적화
-RAG(Retrieval-Augmented Generation) 기반 파이프라인 설계 및 구현
-벡터 DB 이해와 활용
-고객 도메인 요구 기반의 LLM 파인튜닝 및 커스터마이징
-Agent 기반 아키텍처 설계 및 AI 서비스 구현
- MLOps 파이프라인 구축","자격요건

ㆍ학력 : 대졸이상



ㆍ경력 : 경력10년↑

  - 백엔드 / 프론트엔드 개발 경력 7년 이상
  - LLM 모델 실무 경험
  - RESTful API 설계 및 서비스 구축
  - Spring Boot / Spring Framework 기반 백엔드 개발 경험
  - React 등 프론트엔드 프레임워크 기반 UI 개발 경험
  - TensorFlow, PyTorch, Keras와 같은 라이브러리 및 프레임워크 실무 경험
  - AWS 등 클라우드 인프라 환경 실무 경험","우대사항

 기술 및 도메인 전문성 :
  - DB 설계 및 운영 경험자 (DBA 경험자 포함)
  - LangChain, LlamaIndex 등 LLM 프레임워크 활용 경험
  - RAG 기반 설계 및 구현 경험
  - Hugging Face, OpenAI API 기반 모델 파인튜닝/배포 자동화 경험
  - NLP, 챗봇, 지식그래프 등 AI 기술 적용 경험
  - 검색, 멀티모달 AI, 음석/영상 인식 융합 시스템 개발 경험
  - 시스템 성능 최적화 및 아키텍처 설계 역량","Agent, AWS, Hugging Face, LangChain, LLM, MLOps, NLP, OpenAI, PyTorch, RAG, React, Spring, TensorFlow, 멀티모달","",회사 내규에 따름 (면접 후 결정),"",""
AI엔지니어(AI Agent),서울 중구,경력무관,대학원(박사)이상,정규직,48449514.0,㈜에스원,https://www.jobkorea.co.kr/Recruit/GI_Read/48449514?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=20&sc=630,"이런 업무를 해요
ㆍSVMS 에 활용 가능한 AI 에이전트 아이템 및 사례 발굴
ㆍAI 에이전트 아키텍쳐 설계 및 개발
ㆍMCP(Model Context Protocol) 설계 및 개발
ㆍAI 에이전트 평가 지표 정의 및 자동화 평가 시스템 구축
ㆍ다양한 언어 모델 및 데이터 연동
ㆍAI 에이전트 성능 모니터링 및 디버깅
ㆍAI 에이전트 배포 및 운영 환경 구축","이런 분들을 찾고 있어요
ㆍ학력 : 대학원(박사)이상
ㆍ학력 : 박사학위 이상(컴퓨터, 전산, AI 관련)

[전문지식]
ㆍPython 및 관련 라이브러리 활용 능력
　- Langchain, Langgraph, FastAPI, OpenAI 등
ㆍRAG, Agent, MCP 전체 워크플로우에 대한 기본 지식
ㆍRESTFul API 등 외부 연동 기술 개발 능력
ㆍModel(LLM, Embedding, Re-ranking) 및 VectorDB 활용 경험
ㆍ프롬프트 엔지니어링
ㆍGit, Jira 등 협업 도구 활용 능력","이런 분이면 더 좋아요
ㆍ경력 : AI 엔지니어 경력 3년 이상 (석사기간 제외)
ㆍEnd-to-End 에이전트 설계 및 운영 경험
ㆍAI 에이전트 워크플로우에 대한 설계 및 개발 경험
ㆍMCP 도구의 제작, 배포 적용 경험
ㆍ에이전트 평가 지표 수립 및 자동화 평가 시스템 구축 경험
ㆍ에이전트 고도화를 적용한 성능 향상 경험
ㆍ온프레미스, 클라우드 플랫폼을 활용한 프로젝트 경험
","Agent, FastAPI, Jira, Langchain, Langgraph, LLM, OpenAI","","","",""
[한국정보공학] AI 개발 부문 경력직 채용,경기 성남시 분당구 황새울로359번길 7  8층,경력,대졸이상,정규직,48439697.0,한국정보공학㈜,https://www.jobkorea.co.kr/Recruit/GI_Read/48439697?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=21&sc=630,"
담당업무

ㆍLLM 기반 RAG 챗봇 및 AI 에이전트 설계, 개발, 운영","자격요건

ㆍ학력 : 대졸이상

ㆍ경력 : 경력

ㆍLLM(OpenAI, Azure OpenAI 등) API를 활용한 RAG 기반 챗봇 또는 에이전트 개발 및 운영 경험
(LangChain, LangGraph 등 관련 프레임워크 사용 경험)
ㆍ데이터 수집, 전처리, 임베딩을 위한 데이터 파이프라인 구축 경험
ㆍ프롬프트 엔지니어링 및 튜닝을 통한 LLM 응답 품질 개선 및 RAG 성능 평가/검증 경험","우대사항

ㆍDocker/Kubernetes 환경에서 AI 개발 및 운영 경험자

ㆍLLM Fine-tuning 또는 SLM 학습/서빙 경험
ㆍ데이터 엔지니어링 및 MLOps(DVC, MLflow 등)에 대한 이해와 경험
ㆍ보안이 중요한 규제 산업 도메인에서의 프로젝트 개발 경험
ㆍ최신 AI 관련 논문이나 기술 트렌드를 학습하고, 이를 실제 프로-젝트에 적용하는 것을 즐기시는 분
ㆍ다양한 직군과 협업하여 문제를 정의하고 기술적 해결책을 제시하는 데 능숙하신 분","Azure, Kubernetes, LangChain, LangGraph, LLM, MLOps, OpenAI, RAG, 데이터 파이프라인","",회사 내규에 따름 (면접 후 결정),"",""
[플랫폼본부] 프랜차이즈시너지그룹 AI 리서치 엔지니어 (AI 어시스턴트),경기 성남시 분당구 판교로256번길 7  넥슨코리아,경력,학력무관,정규직 (수습 3개월),48424636.0,㈜넥슨,https://www.jobkorea.co.kr/Recruit/GI_Read/48424636?Oem_Code=C1&logpath=1&stext=AI+%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8&listno=24&sc=630,"주요 업무
LLM 및 Agent 기반 AI 어시스턴트의 파이프라인·알고리즘 설계
라이브 서비스 개발 워크플로우 자동화를 위한 AI 파이프라인 연구
프롬프트 및 에이전트 파이프라인 설계, 평가 지표 정의 및 성능 개선
게임 기획자 및 AI 에이전트 엔지니어와 긴밀히 협업하여 실제 개발·운영 병목을 AI 관점에서 문제 해결","지원 자격
만 3년 이상의 LLM/Agent 관련 프로젝트 수행 경험이 있거나 AI 관련 석사 이상의 학위를 보유하신 분
RAG, Fine-tuning, RL 등 LLM 핵심 기술 및 자연어 처리(NLP)에 대한 이해도가 높으신 분
AI 기술에 대한 높은 이해도를 바탕으로 NeurIPS, ICML, ICLR 등 탑티어 학회에 논문을 게재한 경험이 있으신 분","우대 사항
AI 프로덕트의 전체 생애 주기 (문제 정의, 데이터 수집/분석/가공, 모델링, 배포, 운영 등)를 경험이 있으신 분
캐글 등 AI 경진대회나 알고리즘 공모전 수상, 국외 학술 발표 경험이 있으신 분
게임 데이터 포맷(스크립트, 기획서, 리소스 등)에 대한 이해도가 높거나 게임 개발 프로세스를 경험이 있으신 분","Agent, LLM, NLP, RAG, 자연어 처리","",회사 내규에 따름,"",""
